Column1,name,image_url,url,review count,rating,snippet,neighborhood,latitude,longitude,category,type,keywords,Column22,Column32
0,21st Street Coffee And Tea,http://s3-media1.fl.yelpcdn.com/bphoto/l2XybXUHmdaHGhX9Ju8HZw/ms.jpg,http://www.yelp.com/biz/21st-street-coffee-and-tea-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,36,4,"The best espresso downtown by far.

This is my favorite espresso in the city. 21st is on point. They serve it with a small glass of sparkling water.

The...",Downtown,40.44131,-80.00121,Coffee,Food,best;espresso;downtown;favorite;espresso;city;21st;point;small;glass;water,Coffee,Food
1,A & B Doughnuts,,http://www.yelp.com/biz/a-and-b-doughnuts-homestead?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,2,5,"Before I left Pittsburgh for Texas, my sister and I went on every single thing we had not done in Pittsburgh. The list was short but on the list was a...",Homestead,40.40867615,-79.90471649,Donuts,Food,sister;single;thing;list;short;list,Donuts,Food
2,Acacia,http://s3-media2.fl.yelpcdn.com/bphoto/yY7ESIgVEh7oPc-Qg06O3g/ms.jpg,http://www.yelp.com/biz/acacia-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,83,4.5,"I give 5 stars for their cocktails, the concept, and its contribution to Pittsburgh's ongoing culinary and libation revolution. 

There's an element of...",South Side,40.428219,-79.97583,Nightlife,Nightlife,stars;cocktails;concept;contribution;ongoing;culinary;libation;revolution;element,Nightlife,Nightlife
3,Aiello's Pizza,http://s3-media1.fl.yelpcdn.com/bphoto/nJ2hFjoVlItASy7XvB1Isw/ms.jpg,http://www.yelp.com/biz/aiellos-pizza-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,130,4,"Really awesome pizza. You can argue about the merits of other pizza shops, but the sauce on Aiello's is great, and I love the crust.

Bring cash, get take...",Squirrel Hill,40.4332619,-79.9232407,Pizza,Food,awesome;pizza;merits;other;pizza;shops;sauce;great;crust;cash,Pizza,Food
4,All India,http://s3-media4.fl.yelpcdn.com/bphoto/sNQxbobk6466drV-Icb4YA/ms.jpg,http://www.yelp.com/biz/all-india-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,73,4,All India was quite the experience! My chalice glass was constantly full of water and the atmosphere was amazing! With Indian dance videos playing in the...,Oakland,40.4521894,-79.9525714,Indpak,Food,experience;chalice;glass;full;water;atmosphere;amazing;indian;dance;videos,Indpak,Food
5,Alla Famiglia,http://s3-media3.fl.yelpcdn.com/bphoto/63ZjoYaiX_Fg9NiqDDzN9Q/ms.jpg,http://www.yelp.com/biz/alla-famiglia-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,106,4.5,"Our experience last night at Alla Famiglia for Alicia's, my fiance's birthday, has changed my view of restaurants, food, service and ambiance in this...",Allentown,40.4216118,-79.9934616,Italian,Food,experience;last;night;fiance;birthday;view;restaurants;food;service;ambiance,Italian,Food
6,Allegheny Coffee & Tea Exchange,http://s3-media1.fl.yelpcdn.com/bphoto/BriYfBWkU8OC8VMoYSGLkA/ms.jpg,http://www.yelp.com/biz/allegheny-coffee-and-tea-exchange-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,35,4,"Not only does the coffee taste great, it's not overpriced, and the employees are always friendly. 

No matter how full I am after visiting one of the great...",Strip District,40.4513403,-79.9838608,Coffee,Food,coffee;taste;great;employees;friendly;full;great,Coffee,Food
7,Allegheny Sandwich Shoppe,http://s3-media2.fl.yelpcdn.com/bphoto/ssLPWZJroyAo5TTh1-FdBw/ms.jpg,http://www.yelp.com/biz/allegheny-sandwich-shoppe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,19,4,"One of the best diners around--great traditional breakfast and lunch dishes, and a homey, comfortable atmosphere (and neat as a pin and super clean and...",North Side,40.4523081,-80.0150592,Sandwiches,Food,best;diners;great;traditional;breakfast;lunch;dishes;homey;comfortable;atmosphere;neat;pin;clean,Sandwiches,Food
8,Allegro Hearth Bakery,http://s3-media4.fl.yelpcdn.com/bphoto/j1rnxRs4yWbl0sijAEq7DQ/ms.jpg,http://www.yelp.com/biz/allegro-hearth-bakery-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,52,4.5,"We have a weekly ongoing order sourdough pick up and it's awesome but you know what's not so awesome after the initial awesomeness wears off?

Their fucking...",Squirrel Hill,40.43384215,-79.92308241,Bakeries,Food,weekly;ongoing;order;sourdough;awesome;awesome;initial;awesomeness,Bakeries,Food
9,Altius,http://s3-media1.fl.yelpcdn.com/bphoto/dUnH5M4rxTn6KMBUnj8kfA/ms.jpg,http://www.yelp.com/biz/altius-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,162,4.5,"After 3 failed attempts (due to weather), we finally succeeded! Yay, us! This was my last week in Pittsburgh for work so we decided this was a must do...",Duquesne Heights,40.438556,-80.019299,Newamerican,Food,attempts;weather;last;week;work,Newamerican,Food
10,Amazing Cafe,http://s3-media1.fl.yelpcdn.com/bphoto/MRs4DuFdoUOT3i9myDVjjw/ms.jpg,http://www.yelp.com/biz/amazing-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,53,5,"The Amazing Cafe is a completely organic restaurant located in the 1500 block of East Carson St. The place is small but nicely arranged.

Since my visit was...",South Side,40.42868,-79.98312,Cafes,Food,organic;restaurant;block;place;small;visit,Cafes,Food
11,Amazing Wok,http://s3-media2.fl.yelpcdn.com/bphoto/GVj2oLVvfiQAXaBJWkWC8g/ms.jpg,http://www.yelp.com/biz/amazing-wok-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,32,4,"In the Dormont area, Amazing Wok is the best for quick, affordable and tasty Chinese takeout/delivery. This is not a dine-in restaurant. The food has always...",Dormont,40.39469942,-80.03484249,Chinese,Food,area;best;quick;affordable;tasty;chinese;takeout;delivery;dine;restaurant;food,Chinese,Food
12,Andy's Sushi Bar,http://s3-media1.fl.yelpcdn.com/bphoto/IrcDz-3gvhSRh_EbcTBBDQ/ms.jpg,http://www.yelp.com/biz/andys-sushi-bar-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,44,4,Andy is great and his sushi is even better!  I've worked in the strip now for 12 years and have been going here ever since it all started.  The food is...,Strip District,40.45011139,-79.98587799,Sushi,Food,great;sushi;better;strip;years;food,Sushi,Food
13,Angkor Restaurant,http://s3-media1.fl.yelpcdn.com/bphoto/wEHB3qriOaw1y7Bge8p8jg/ms.jpg,http://www.yelp.com/biz/angkor-restaurant-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,59,4,This is an excellent Thai/Cambodian restaurant. The first night they let me sample the green curry sauce and the Panang sauce. I ended up trying a Cambodian...,West End,40.42744064,-80.05576324,Thai,Food,excellent;cambodian;restaurant;first;night;curry;sauce;sauce,Thai,Food
14,Apsara Cafe,http://s3-media4.fl.yelpcdn.com/bphoto/8gIMKpjd2OvHsBpCyzBDRw/ms.jpg,http://www.yelp.com/biz/apsara-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,47,4,I have been wanting to eat here for a while and I finally did this week. My boyfriend and I are big fans of Thai food and like trying different places. We...,South Side,40.42896883,-79.9817369,Thai,Food,while;week;boyfriend;big;fans;food;different;places,Thai,Food
16,Arcade Bakery & Cafe,http://s3-media4.fl.yelpcdn.com/bphoto/Y2txohyH10ioBuoMXBzGhA/ms.jpg,http://www.yelp.com/biz/arcade-bakery-and-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,6,4.5,"On many levels, I consider myself a Macy's devotee.  Every day is a One-Day sale and my Macy's card gives me access to coupons that keep me surrounded in...",Downtown,40.4395294,-79.9983673,Cafes,Food,many;levels;devotee;day;day;sale;card;access;coupons,Cafes,Food
17,Arcade Comedy Theater,http://s3-media4.fl.yelpcdn.com/bphoto/olP9dLZc6HyBoDjaRKuiEw/ms.jpg,http://www.yelp.com/biz/arcade-comedy-theater-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4.5,"This place is awesome. Terrific. Fun!!!!
There are shows for kids, shows for adults, shows for adults-only, shows for families.
The Arcade hosts many types...",Downtown,40.443036,-79.998621,Arts,Arts,place;awesome;terrific;shows;kids;adults;adults;families;many;types,Arts,Arts
18,Arnold's Tea,http://s3-media2.fl.yelpcdn.com/bphoto/Pee92I4pJNTV1qrgJSCxYQ/ms.jpg,http://www.yelp.com/biz/arnolds-tea-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4.5,I decided to check this place out since it has been a while since I've been on the North-side. There is street parking along with a parking lot on a...,North Side,40.453701,-80.000473,Coffee,Food,place;while;north;side;street;parking;parking;lot,Coffee,Food
21,Avenue B,http://s3-media2.fl.yelpcdn.com/bphoto/2ar8oH9VZBeYq03Q2GSsAg/ms.jpg,http://www.yelp.com/biz/avenue-b-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,164,4,"Really excellent meal, easily the best I had in my visit to Pittsburgh.

BYOB is such a fun concept, and loved that we got to pick out our own wine. Upon...",Friendship,40.45685577,-79.93643188,Newamerican,Food,excellent;meal;best;visit;byob;fun;concept;own;wine,Newamerican,Food
22,Bangal Kabab House and Restaurant,http://s3-media2.fl.yelpcdn.com/bphoto/9162H56suabPTtMCiU8dJQ/ms.jpg,http://www.yelp.com/biz/bangal-kabab-house-and-restaurant-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,87,4.5,"I have only ever been here for the lunch buffet, but I have out of the five other lunch buffets I have tried so far in Pittsburgh, this one is by far my...",Oakland,40.439047,-79.9554689,Indpak,Food,lunch;buffet;other;lunch;buffets;one,Indpak,Food
23,Bar 11,http://s3-media2.fl.yelpcdn.com/bphoto/34w7n_o6Dvrr5ncZcr7iZQ/ms.jpg,http://www.yelp.com/biz/bar-11-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,43,4,"Some people call this a frat house, maybe if a frat house is run by a couple of 50 year old guys, but dont get me wrong its a fun place.  

You order a...",South Side,40.42720445,-79.98731442,Nightlife,Nightlife,people;frat;house;frat;house;couple;year;old;guys;wrong;fun;place,Nightlife,Nightlife
24,Bar Marco,http://s3-media1.fl.yelpcdn.com/bphoto/4tnCnEWOw5GxNKPpw9AMAw/ms.jpg,http://www.yelp.com/biz/bar-marco-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,172,4,My daughter and I were trying to decide where to eat dinner last night. She went to the Pittsburgh Magazine website and looked at their list. She picked out...,Strip District,40.45249176,-79.98155975,Cafes,Food,daughter;dinner;last;night;website;list,Cafes,Food
25,Bartram House Bakery,http://s3-media3.fl.yelpcdn.com/bphoto/0zKSQ8zhY5qB8PllDoI9Zw/ms.jpg,http://www.yelp.com/biz/bartram-house-bakery-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,28,4,"Everything about this place  - food, service, atmosphere was A+ I had the filet mignon sandwich, and it was delicious! The bread was soft and fresh, and the...",South Side,40.42731442,-79.96800654,Cafes,Food,place;food;service;atmosphere;a+;sandwich;delicious;bread;soft;fresh,Cafes,Food
26,Bea Taco Town,http://s3-media1.fl.yelpcdn.com/bphoto/WC6FDqzlYU7tGL_eSO_bcA/ms.jpg,http://www.yelp.com/biz/bea-taco-town-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,40,4.5,I went today for the first time.  I ordered a taco salad with chorizo. I don't think it is an exaggeration to say that it was the best taco salad I've ever...,Downtown,40.442413,-79.997314,Mexican,Food,today;first;time;taco;salad;exaggeration;best;taco;salad,Mexican,Food
